ID,pq1,pq2,d04,d06,d01,d02,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11,uni16,uni17,Q12,nk03_02,Q13,nk13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,nk14,Q17,nk16,nkp01_01,nkp01_02,nkp01_03,nkp01_04,Q18,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp11,nkp12_01,nkp12_02,nkp12_03,nkp12_04,nkp12_05,nkp12_06,nkp12_07,nkp12_08,nkp12_09,nkd01_01,nkd01_02,nkd01_07,nkd01_08,nkd01_03,nkd01_09,nkd01_10,Q19_1,Q19_2,Q19_3,Q19_4,Q20,nkd04_01,nkd04_02,nkd04_03,nkd04_04,sk22_01,sk22_02,sk22_03,sk22_04,nkd05,nkd06,nkd07_01,nkd07_02,nkd07_03,nkd07_04,nkd07_05,nkd07_06,nkd07_07,nkd07_08,nkd07_09,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,fp08_01,fp08_02,fp08_03,fp08_04,fp09_01,fp11,fp12,fp13,sk05_01,sk05_02,sk05_03,sk05_04,sk05_14,sk05_06,sk05_08,sk05_09,sk05_13,sk05_11,sk09,sk10,sk01,nk12,sk07,Q27,sk18_07,sk17_02,sk25,sk26,sk27,d12_raw,d07,d09_raw,d08,d10_08_15,d11,d13,d14,d15,wt
724,1,1,14,2,1,55,1,4,3,4,2,1,3,2,1,1,1,3,3,2,1,3,6,1,4,5,3,4,4,4,5,3,1,1,2,2,3,2,1,4,4,3,3,3,3,3,2,2,2,2,2,2,4,4,3,3,3,4,1,3,1,1,1,1,4,2,1,1,3,2,3,2,1,2,1,1,1,2,2,1,2,1,3,4,5,2,4,3,5,3,3,2,3,2,2,2,1,2,2,1,1,3,2,2,1,1,2,3,2,1,2,2,2,3,4,1,3,4,4,4,3,3,3,3,4,4,4,4,1,4,1,3,1,3,5,3,1,2,1,3,2,2,2,3,1,2,3,3,7,4,1,2,7,2,1,1,3,12,2,3,98,12,1,1,3,14,0.894447825
725,1,1,14,3,1,62,3,4,4,5,3,4,3,2,3,2,1,1,3,2,3,1,3,4,3,5,5,5,5,5,5,1,1,2,1,3,3,4,3,2,4,3,3,3,4,4,2,2,2,2,1,1,3,2,3,3,2,2,2,1,4,2,3,3,1,3,5,5,1,5,2,3,4,3,3,3,3,4,4,3,5,5,4,4,5,5,4,3,4,2,3,2,3,1,2,2,3,2,5,1,3,4,1,1,1,1,3,2,1,1,1,1,2,1,4,1,1,1,3,2,1,3,2,3,3,4,4,3,1,1,2,2,2,1,4,3,3,3,2,1,2,3,4,3,3,4,3,3,6,3,3,3,7,4,1,1,5,1,2,3,98,10,3,4,2,14,0.870348101
726,1,1,14,2,1,65,2,1,2,2,2,1,4,1,1,2,1,1,2,2,2,1,2,3,3,3,4,3,2,1,2,3,2,3,2,2,2,1,1,4,4,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,3,2,2,1,1,2,2,3,1,1,1,1,2,1,1,2,2,2,3,3,3,3,3,4,3,4,4,2,3,2,2,3,3,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,3,3,3,3,4,4,3,1,3,1,3,1,3,4,3,1,1,1,1,3,3,1,4,1,1,4,2,8,4,2,4,2,3,1,2,5,2,2,2,1,5,3,4,2,14,0.870348101
727,1,1,14,2,1,65,1,3,3,3,1,1,2,2,2,2,3,3,2,2,2,1,3,4,4,4,5,5,5,4,4,3,1,3,1,3,3,3,1,2,3,3,3,3,4,4,2,2,2,2,1,1,1,2,2,2,1,2,2,2,3,3,3,4,3,3,3,3,2,2,3,4,1,1,1,1,1,1,2,3,3,2,3,3,4,4,4,4,4,2,2,1,1,3,4,4,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,4,4,1,2,2,2,3,3,3,4,4,4,4,3,1,2,2,2,4,1,4,3,1,1,1,1,1,2,2,1,1,1,4,1,6,4,3,4,2,3,1,1,5,4,2,2,98,6,3,5,2,14,0.870348101
728,1,1,14,2,1,63,1,4,4,5,3,2,3,3,3,3,2,3,3,3,2,1,3,4,4,5,5,5,5,5,5,1,1,1,4,3,3,4,2,3,4,3,3,4,4,4,2,2,2,2,1,1,1,1,1,1,3,3,3,1,2,3,2,2,2,2,4,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,5,5,2,4,3,4,3,3,2,1,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,1,1,1,3,3,3,2,3,3,3,1,1,1,1,4,3,4,1,1,2,1,1,2,2,1,2,1,1,4,3,8,3,3,4,7,3,1,1,5,2,2,2,98,7,4,4,1,14,0.870348101
729,1,1,14,2,1,72,3,4,2,5,3,2,4,1,3,3,2,4,3,3,2,3,4,2,3,5,5,4,4,5,4,4,1,1,5,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,1,1,2,2,3,1,1,2,4,2,4,2,2,2,2,4,4,4,2,3,2,1,3,3,4,3,4,5,4,3,4,2,3,3,4,3,4,3,3,3,4,3,4,1,2,2,3,2,2,5,3,3,1,2,1,1,2,2,1,2,2,2,2,1,4,2,1,4,4,3,3,3,2,4,3,4,4,3,1,2,2,2,4,3,4,3,1,1,1,2,3,2,2,2,1,2,4,3,4,2,4,4,7,3,1,1,5,2,2,2,1,4,5,6,1,14,0.870348101
730,1,1,14,3,1,69,1,5,2,6,2,2,4,2,2,1,1,1,2,2,2,3,4,4,4,4,4,5,5,3,3,1,1,1,4,2,3,4,2,2,4,3,3,3,3,3,2,2,2,2,2,1,3,3,3,3,2,1,4,1,4,2,2,2,1,4,2,2,1,4,1,2,3,4,3,4,4,5,5,3,3,3,3,3,3,2,4,2,4,3,3,2,3,3,2,1,3,2,3,1,3,2,1,1,1,1,1,2,2,2,1,2,3,1,4,2,1,1,1,1,3,3,3,3,3,4,4,3,1,1,1,1,4,3,5,3,2,2,1,2,3,2,2,2,1,2,4,3,7,3,2,5,7,4,1,1,5,1,2,1,98,4,5,4,1,14,0.870348101
731,1,1,14,2,1,62,1,2,2,4,2,2,3,1,2,1,3,2,2,3,2,1,3,3,3,3,4,2,4,3,3,3,1,3,1,3,4,4,4,2,4,4,3,3,3,4,2,2,2,2,2,1,3,3,3,3,2,2,3,2,3,3,2,2,1,3,5,2,2,4,2,2,3,5,5,5,4,4,2,4,5,5,2,3,4,3,4,3,4,4,4,4,4,1,2,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,3,4,1,1,1,3,1,1,1,2,3,3,3,4,3,1,1,1,1,1,2,5,3,2,1,1,1,1,1,2,2,1,2,3,2,5,2,2,3,7,3,1,1,5,1,2,2,98,4,5,5,2,14,0.870348101
732,1,1,14,2,1,68,1,2,2,6,2,4,4,4,3,1,2,1,3,2,2,4,4,2,3,2,2,2,5,3,4,1,1,2,5,3,3,4,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,4,3,3,2,2,4,1,4,4,2,2,1,3,5,2,2,5,2,3,5,3,3,3,3,3,3,3,4,5,3,4,4,2,3,3,5,3,3,2,4,1,2,3,3,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,4,1,1,2,3,3,1,3,2,2,3,4,4,3,1,2,1,2,2,2,5,1,2,2,2,2,2,2,2,1,1,1,4,2,9,3,4,4,7,4,1,1,5,1,2,2,98,4,4,5,2,14,0.870348101
733,1,1,3,1,2,21,3,3,3,6,2,1,3,3,2,1,1,3,3,2,3,1,4,3,3,4,4,3,4,5,5,3,4,3,4,3,3,4,3,2,4,3,3,4,3,4,2,2,2,2,1,1,2,2,3,3,2,2,2,2,3,3,3,3,2,2,4,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,4,5,4,4,3,3,2,2,2,4,3,4,3,3,3,5,4,3,3,3,3,4,2,2,2,2,2,2,1,4,3,1,3,3,3,1,3,2,2,2,4,3,3,1,2,1,2,4,3,4,1,1,1,1,1,2,3,1,3,1,1,4,3,4,3,3,3,7,2,4,1,4,10,1,4,99,5,5,6,5,3,1.020268318
734,1,1,3,1,2,23,1,4,4,3,3,1,4,3,2,2,1,3,2,3,2,1,3,3,4,4,4,3,4,4,4,1,4,4,2,3,3,3,2,2,3,3,4,4,4,3,2,2,2,2,1,1,1,1,1,1,2,2,3,3,4,3,2,2,1,3,3,3,2,2,3,2,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,2,2,1,2,3,3,1,4,2,3,3,2,2,1,1,1,2,2,1,2,2,2,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,3,4,3,1,1,1,1,2,2,2,2,1,2,4,2,7,3,3,3,7,3,4,1,5,6,1,4,2,11,3,4,2,3,1.020268318
735,1,1,3,1,2,27,4,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,4,1,4,2,4,1,2,5,1,2,2,2,2,3,4,4,3,4,4,2,2,2,2,2,1,1,2,3,4,4,2,1,2,1,4,2,1,1,3,2,2,2,4,4,4,5,1,2,1,1,2,2,2,1,1,1,2,3,4,2,2,3,2,4,4,3,2,2,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,3,1,3,3,3,3,4,4,4,1,2,2,2,1,1,3,1,1,1,1,1,3,3,1,1,1,1,3,2,7,3,3,3,7,2,1,1,1,6,1,4,98,10,2,3,1,3,1.020268318
736,1,1,3,1,2,24,2,2,3,6,2,2,3,3,2,3,3,2,2,2,1,3,3,2,3,4,2,3,4,3,3,3,2,5,2,3,3,3,1,3,4,4,3,3,3,3,2,2,2,2,1,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,1,3,2,1,2,2,3,2,3,3,3,2,2,3,2,4,4,3,4,3,4,3,4,3,2,2,3,2,3,4,3,2,3,2,2,2,2,1,2,2,1,1,2,2,1,4,1,1,3,2,2,1,4,2,3,1,3,3,3,1,2,1,2,4,1,2,1,2,1,1,2,3,3,2,3,1,2,3,1,8,3,2,2,1,2,4,4,2,3,1,4,2,7,4,5,2,3,1.020268318
737,1,1,3,1,2,26,4,2,3,2,2,1,2,2,1,1,2,2,2,2,2,1,3,2,4,3,3,4,4,3,3,2,3,4,2,2,3,3,2,2,4,3,4,3,4,3,2,2,2,2,1,1,2,2,1,1,1,2,2,3,3,3,2,2,1,1,1,1,3,2,2,3,1,1,1,1,1,1,1,3,3,1,3,5,5,3,4,5,5,3,3,3,3,3,3,3,4,2,2,1,3,3,2,2,3,2,3,1,2,1,1,3,1,1,2,1,3,3,3,3,3,3,3,3,3,4,3,3,2,4,2,4,4,3,2,3,1,1,1,1,4,2,1,4,1,1,2,2,8,3,4,3,7,1,4,1,1,6,1,4,1,9,3,5,4,3,1.020268318
738,1,1,3,1,2,30,1,3,2,5,2,1,4,2,2,1,2,2,2,2,2,3,1,2,3,3,2,2,3,3,3,1,1,1,4,2,2,2,2,3,3,3,2,3,2,3,2,1,2,2,1,1,1,1,3,2,1,5,2,3,4,3,2,2,3,2,3,2,2,2,2,3,1,2,1,2,2,3,3,2,2,2,3,3,4,3,4,4,4,3,3,2,2,2,2,3,4,2,2,3,4,2,2,1,2,1,1,1,1,1,2,2,2,4,3,4,1,2,1,3,1,3,3,3,3,3,3,3,1,1,1,1,4,3,4,3,1,1,2,2,1,2,2,2,1,1,4,2,7,3,4,2,1,2,4,1,1,12,1,4,98,11,3,3,2,3,0.964513416
739,1,1,3,1,2,37,3,3,4,6,2,1,3,3,1,2,2,3,2,2,3,4,3,2,2,4,5,4,5,5,5,3,4,2,4,3,3,4,2,2,4,3,3,4,4,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,4,4,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,4,4,4,3,3,2,2,2,4,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,3,1,1,3,3,3,1,3,3,3,3,3,4,4,1,3,1,2,1,1,4,3,1,1,1,2,3,3,1,3,1,1,4,3,5,2,3,3,7,1,4,1,4,9,2,3,98,8,4,5,2,3,0.964513416
740,1,1,3,1,2,35,1,4,3,3,3,3,4,3,2,2,1,3,3,3,3,1,3,3,3,3,4,1,4,4,4,1,1,3,1,3,3,3,2,3,4,3,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,3,2,2,3,1,2,3,3,1,3,3,2,3,2,2,2,1,2,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,3,3,3,4,4,4,2,2,1,2,4,3,4,1,1,1,1,2,2,2,2,2,1,2,2,2,6,2,3,3,7,3,4,1,5,9,2,4,98,8,4,4,2,3,0.964513416
741,1,1,3,1,2,34,4,4,3,6,3,2,3,1,2,1,1,3,2,2,2,3,4,2,3,3,5,2,5,4,5,1,1,4,1,3,3,4,2,3,4,4,3,4,4,3,2,2,1,2,1,1,2,2,3,3,2,3,3,1,4,2,2,2,4,3,3,3,4,3,3,4,2,2,3,3,2,2,3,3,3,2,4,4,5,3,4,4,4,3,3,1,1,2,3,3,3,2,3,2,3,2,2,3,3,2,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,4,2,2,3,4,4,4,1,2,2,2,1,3,4,3,1,1,1,1,2,2,1,1,1,1,4,2,7,3,3,1,7,2,1,1,1,3,2,3,2,8,4,4,1,3,0.964513416
742,1,1,3,1,2,37,3,2,2,4,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,4,3,2,3,4,3,1,2,4,3,2,2,3,1,2,3,3,4,3,3,3,2,2,2,2,1,2,3,3,2,3,2,3,3,3,2,3,3,2,3,3,3,2,4,3,2,3,1,2,2,3,3,2,2,3,3,2,2,2,3,3,4,2,3,4,3,3,3,1,2,2,3,2,2,3,4,3,3,3,2,1,3,2,2,1,3,2,2,1,5,1,1,2,3,3,1,2,3,3,2,3,3,3,1,2,2,1,4,3,3,2,2,1,1,2,3,3,2,3,1,2,2,1,7,3,3,2,1,1,4,3,3,9,2,4,1,7,5,5,3,14,0.964513416
743,1,1,3,1,2,45,1,4,3,5,3,1,4,1,1,1,1,3,2,3,1,3,1,1,2,2,1,2,2,2,1,1,1,1,4,2,2,3,2,3,4,3,2,3,3,3,2,2,2,2,2,2,2,2,2,1,1,5,3,3,2,3,1,2,3,2,4,2,1,2,3,4,1,2,2,1,1,4,3,2,2,1,3,3,4,2,4,4,4,4,3,2,2,2,2,4,4,1,3,3,4,2,2,2,2,1,1,2,2,1,1,2,2,1,3,3,1,3,3,3,1,4,3,3,3,3,3,3,1,3,1,2,4,3,4,1,1,1,1,1,2,2,1,1,1,1,3,2,7,3,4,4,7,2,1,1,5,9,2,4,2,9,3,4,2,3,0.92081254
744,1,1,3,1,2,42,1,3,3,6,2,1,3,3,2,2,1,2,2,2,2,1,1,3,3,4,4,3,4,4,5,1,2,2,4,3,3,5,2,3,4,3,3,4,4,3,2,2,2,2,1,1,2,1,4,3,2,2,2,2,4,3,2,3,2,2,4,4,1,2,2,3,2,2,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,4,2,1,1,2,4,4,3,3,2,2,3,3,2,2,2,3,3,2,2,3,2,2,2,1,4,1,1,3,3,3,1,3,2,4,3,4,4,3,1,3,1,2,2,3,5,1,1,2,1,2,3,3,2,3,1,1,4,2,5,3,3,3,7,2,4,1,4,3,2,3,98,9,3,3,2,3,0.92081254
745,1,1,3,1,2,42,1,2,2,2,1,1,4,2,2,2,1,2,2,2,2,1,1,3,3,4,4,4,4,4,4,1,4,4,4,3,3,3,2,3,3,3,4,4,4,3,2,2,2,2,1,1,1,1,1,1,2,2,3,1,4,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,3,2,2,2,2,2,3,2,4,2,3,3,2,2,2,1,1,1,1,1,1,1,2,3,3,1,2,3,3,3,3,3,3,3,4,4,4,4,2,2,2,2,4,3,4,3,2,2,1,2,2,2,2,2,1,2,2,2,6,3,3,3,7,2,4,1,5,9,2,4,2,9,4,4,2,3,0.92081254
746,1,1,3,1,2,48,1,4,3,6,3,2,4,2,3,3,2,2,1,1,2,2,2,3,4,5,5,5,5,3,4,3,4,3,4,3,3,2,1,2,3,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,3,3,1,3,1,3,3,2,2,3,2,2,2,2,3,3,2,4,4,4,3,5,4,4,4,4,4,2,2,3,3,2,2,3,4,4,3,2,2,2,2,1,2,2,1,2,2,2,1,2,4,1,2,3,3,1,2,2,3,3,3,4,3,2,3,2,2,2,3,3,3,2,1,1,2,3,3,2,4,1,2,3,2,8,3,4,3,7,2,1,2,1,6,2,4,3,10,3,3,2,1,0.92081254
747,1,1,3,1,2,48,3,2,4,2,2,2,4,2,2,2,1,3,2,2,1,3,3,3,4,5,5,5,5,5,5,2,4,2,5,3,4,4,3,2,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,1,2,2,1,2,2,2,2,2,2,2,2,3,2,3,3,4,2,2,3,2,3,2,1,1,2,3,3,2,3,2,2,4,3,2,2,2,2,1,2,2,1,2,2,2,1,3,1,1,3,2,2,1,3,2,2,1,4,2,2,2,4,2,2,4,3,3,1,1,1,2,2,2,2,1,2,1,1,2,2,8,2,3,3,7,2,1,1,1,2,2,3,98,7,3,4,3,3,0.92081254
748,1,1,3,1,2,41,3,3,2,6,3,2,2,3,1,2,3,2,2,2,2,1,5,3,2,3,3,3,3,3,3,3,5,4,4,3,2,3,2,2,2,3,1,2,3,2,2,2,2,2,3,3,2,1,1,1,1,2,4,3,3,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,4,2,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,2,2,3,1,2,3,2,2,2,3,4,3,3,3,3,3,2,2,1,1,2,3,1,2,3,3,2,2,3,2,3,2,1,1,1,1,3,3,2,2,2,2,3,3,6,3,3,3,2,3,1,1,2,4,2,3,2,7,3,4,3,3,0.92081254
749,1,1,3,1,2,49,2,3,4,6,2,2,2,1,2,2,3,1,2,2,2,1,1,3,3,3,3,2,3,3,3,3,1,2,4,4,3,4,3,3,4,3,4,4,4,2,2,2,2,2,1,1,3,2,2,2,1,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,2,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,1,3,4,3,3,3,3,4,3,3,4,3,3,3,2,3,3,1,2,4,3,2,2,2,2,3,3,2,2,2,2,2,2,6,3,3,3,4,2,1,2,1,9,2,3,2,7,4,5,4,3,0.92081254
750,1,1,3,1,2,52,1,2,3,6,2,1,4,2,2,2,1,3,2,3,2,3,1,3,3,3,3,2,3,4,3,3,1,1,5,3,2,3,2,2,3,3,3,3,2,4,2,1,2,2,1,1,1,1,1,1,2,5,3,3,4,3,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,3,3,2,2,2,3,3,4,3,3,3,4,4,3,2,1,2,2,3,3,1,3,3,4,3,2,2,2,1,2,2,2,1,1,2,2,1,3,3,1,2,3,3,1,3,2,2,2,2,3,3,1,1,1,1,4,3,4,3,2,1,2,2,2,2,2,2,1,2,4,2,7,3,3,4,7,3,1,1,5,9,2,3,1,7,3,4,2,14,0.964940017
751,1,1,3,1,2,55,4,3,3,6,3,2,3,2,2,2,1,3,1,2,1,3,4,2,3,2,2,3,3,3,2,1,1,1,5,3,2,3,2,3,3,3,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,3,4,2,2,2,2,2,4,4,2,2,3,4,2,3,2,2,2,3,3,2,2,3,5,4,4,4,4,4,4,4,3,1,1,2,3,3,3,2,2,3,4,2,2,1,3,2,2,1,1,1,2,2,2,4,3,3,1,1,2,4,3,3,3,3,3,3,3,3,1,1,1,1,4,3,4,1,2,2,1,4,3,3,2,3,1,2,4,3,6,3,3,3,1,2,1,1,5,2,2,3,1,11,2,3,2,3,0.964940017
752,1,1,3,1,2,54,1,2,2,2,2,1,3,3,1,2,1,3,1,1,2,5,1,2,2,4,4,2,4,4,5,1,1,3,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,1,1,2,2,2,2,2,5,2,2,4,2,3,2,3,2,4,3,3,2,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,1,1,2,3,3,3,3,3,2,4,3,2,2,2,2,3,2,2,2,2,2,2,1,3,1,1,3,3,3,1,3,2,2,2,3,3,3,1,3,2,2,2,1,4,3,1,1,1,2,3,3,2,3,1,2,4,2,6,3,3,3,7,2,1,1,4,3,2,3,98,11,2,3,1,3,0.964940017
753,1,1,3,1,2,57,1,2,2,6,3,1,4,2,1,1,1,4,3,3,1,1,1,2,3,4,4,3,4,3,2,1,1,1,5,4,3,3,2,2,3,3,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,3,1,3,3,3,4,1,4,3,3,2,2,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,2,1,2,3,3,2,3,2,4,3,2,2,1,1,1,1,1,1,2,1,1,1,3,4,1,3,3,3,1,3,3,3,3,4,4,4,1,2,1,2,4,3,3,1,2,1,1,3,2,2,1,2,1,1,3,2,6,3,3,4,2,3,1,1,5,2,2,3,1,9,4,4,3,3,0.964940017
754,1,1,3,1,2,59,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,4,5,2,4,3,4,1,1,4,1,2,2,2,2,3,4,4,4,4,4,2,2,2,1,2,1,1,2,3,4,4,3,2,2,1,2,3,1,1,3,3,2,2,4,2,2,4,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,3,3,5,4,2,3,1,3,2,3,2,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,3,3,3,3,3,3,3,1,2,1,1,1,1,4,3,1,1,1,1,2,2,1,1,1,1,4,1,7,3,2,2,7,3,1,1,1,3,2,3,2,7,3,5,1,8,0.964940017
755,1,1,3,1,2,58,1,2,3,6,2,3,3,2,1,2,3,2,2,3,2,1,4,3,3,4,3,4,3,2,3,3,4,5,3,3,2,3,3,3,4,4,3,3,3,3,2,2,2,2,1,2,3,3,2,3,2,2,3,2,2,3,2,3,2,3,2,2,3,1,2,3,2,2,2,2,3,3,2,3,3,2,4,3,2,4,4,3,4,4,4,3,4,2,2,3,2,3,3,2,2,3,3,2,2,3,2,1,2,3,2,1,2,1,4,1,1,3,3,3,1,4,2,2,2,3,4,4,2,3,3,4,4,3,1,1,2,1,1,1,2,3,2,3,1,2,3,1,7,2,2,3,7,3,1,2,3,5,2,3,1,8,4,4,1,15,0.964940017
756,1,1,3,1,2,53,3,4,3,6,2,3,2,1,2,3,2,2,3,2,2,1,4,3,2,3,3,3,4,2,3,1,6,6,5,3,2,3,3,3,4,3,3,4,2,3,2,2,1,2,2,2,2,2,2,2,1,2,4,2,4,3,3,3,3,3,4,4,3,2,3,4,3,3,2,4,3,3,3,2,2,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,5,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1,3,3,1,2,3,1,3,3,5,3,3,4,7,3,1,1,5,4,2,3,1,5,3,4,3,3,0.964940017
757,1,1,3,1,2,70,1,2,2,5,2,1,4,2,2,2,1,3,2,3,2,1,1,2,3,3,2,2,3,3,2,1,5,1,4,2,2,3,2,3,3,3,2,4,2,2,2,2,2,2,1,1,1,1,3,2,3,2,2,3,2,2,1,1,2,2,3,3,2,2,3,4,2,2,2,2,2,3,3,2,2,3,3,4,4,4,4,4,4,4,4,3,3,2,2,2,3,1,3,4,4,2,2,2,2,1,2,1,2,2,2,2,2,1,3,3,1,3,2,3,1,1,2,2,3,3,4,4,1,2,2,2,2,1,3,3,2,1,1,4,3,3,2,3,1,2,3,2,8,3,3,4,2,2,1,1,5,9,2,1,1,3,5,5,3,14,1.022043612
758,1,1,3,1,2,68,3,2,2,4,2,1,3,3,2,1,1,3,2,2,1,1,1,3,3,4,4,3,4,4,4,1,1,1,2,3,3,4,2,2,3,2,2,3,3,3,2,2,2,2,1,1,2,1,3,3,2,2,2,2,2,3,2,2,3,2,4,4,1,2,2,3,2,2,3,2,2,3,3,2,2,3,3,3,3,4,3,4,4,4,4,3,3,2,3,3,3,2,3,2,4,3,2,2,2,2,3,1,2,2,1,2,1,1,4,1,1,3,1,2,1,3,2,4,3,4,3,3,1,3,1,2,2,3,5,1,1,2,1,2,3,3,2,3,1,1,4,2,6,2,3,3,7,2,1,1,5,9,4,1,1,2,5,6,5,3,1.022043612
759,1,1,3,1,2,60,4,2,3,6,2,3,4,2,1,1,1,4,2,3,1,1,3,3,3,4,3,2,3,3,3,1,1,4,1,4,3,3,2,2,3,3,4,4,4,3,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,3,3,3,2,4,3,3,2,2,3,2,2,2,2,3,2,2,2,2,4,3,4,3,3,3,4,3,4,3,4,2,2,2,2,3,3,2,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,3,4,1,3,3,3,1,3,3,3,3,4,4,4,1,1,1,1,4,1,4,1,2,2,1,3,2,2,1,2,1,1,4,2,7,2,3,4,7,3,1,1,5,3,2,2,1,9,3,4,3,3,1.022043612
760,1,1,3,1,2,61,4,3,2,5,2,1,2,1,1,1,1,1,2,2,1,2,4,3,3,3,5,2,5,4,5,1,1,5,2,2,3,4,2,3,4,4,4,4,4,2,2,2,2,2,1,1,2,2,3,3,2,1,2,1,2,2,2,2,3,3,2,2,3,3,2,4,2,1,1,1,2,1,1,1,1,2,3,3,3,2,3,4,3,4,4,2,2,2,3,2,3,2,2,3,4,2,2,2,2,2,2,2,1,1,1,1,1,1,4,2,1,3,3,3,1,3,2,2,3,4,4,4,1,3,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,6,3,2,4,2,3,1,1,1,9,2,2,1,4,5,5,1,14,1.022043612
761,1,1,3,1,2,64,1,2,4,3,3,2,4,2,3,3,2,3,3,3,2,1,3,3,4,4,2,2,3,4,4,2,1,1,5,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,3,2,4,3,2,3,3,3,3,3,3,3,3,3,2,4,4,4,2,2,3,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2,1,2,2,2,2,3,1,2,3,3,1,5,1,1,2,3,3,1,3,2,2,2,3,3,2,1,2,2,2,1,3,3,3,2,2,1,2,2,2,1,2,1,2,4,1,6,3,1,3,1,2,1,4,1,9,3,2,98,6,4,1,1,3,1.022043612
