id,dem03,dem03_raw,dem04,dem01,dem14_01,dem14_01_raw,Q2,Q3,Q4,uni04_01,uni04_02,uni04_03,uni04_04,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,uni10,uni11,Q11,Q12,nk03_03,Q13,nk04_01,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_07,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_02,nk09_04,nk09_05,nk09_06,nk09_07,nk10,nk11,nkp10,nkp01,nkp04,Q18,nkp06,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp09_01,nkp09_02,nkp09_03,nkp09_04,nkp09_05,int01,Q19_1,Q19_2,Q19_3,Q19_4,Q20,int04_01,int04_02,int04_03,int04_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,int12_01,int12_02,int12_03,int12_04,int13,int14,sk02_01,sk02_02,sk02_03,sk02_04,sk02_05,sk02_08,sk05_08,sk05_09,sk05_01,sk05_03,sk05_05,sk05_10,sk05_06,sk05_11,sk09,sk10,sk01,nk12,sk07,Q27,sk18,sk17,sk22_01,sk22_02,sk22_03,dem08,dem08_raw,dem05,dem07,dem07_raw,dem06,dem09,dem09_raw,dem10,dem11,dem12,dem13
257.00,1.00,8.00,2.00,2.00,3.00,41.00,2.00,2.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,2.00,4.00,4.00,4.00,1.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,1.00,2.00,1.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00,2.00,4.00,2.00,3.00,4.00,4.00,4.00,2.00,3.00,2.00,3.00,3.00,1.00,2.00,3.00,1.00,2.00,3.00,3.00,1.00,2.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,1.00,2.00,3.00,3.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,6.00,2.00,3.00,2.00,1.00,2.00,3.00,3.00,3.00,4.00,6.00,2.00,3.00,4.00,1.00,4.00,9.00,2.00,3.00,2.00,8.00
258.00,1.00,8.00,2.00,2.00,3.00,43.00,1.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,1.00,4.00,3.00,3.00,4.00,4.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,3.00,1.00,3.00,1.00,2.00,1.00,1.00,2.00,3.00,4.00,4.00,4.00,4.00,1.00,2.00,1.00,4.00,2.00,3.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,3.00,1.00,5.00,2.00,3.00,3.00,6.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,98.00,1.00,4.00,3.00,4.00,2.00,8.00
259.00,1.00,8.00,2.00,2.00,4.00,57.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,3.00,1.00,1.00,3.00,3.00,3.00,4.00,5.00,2.00,4.00,5.00,4.00,1.00,2.00,2.00,1.00,1.00,4.00,4.00,3.00,2.00,4.00,3.00,2.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,2.00,4.00,3.00,3.00,3.00,2.00,5.00,2.00,3.00,2.00,1.00,1.00,1.00,5.00,3.00,3.00,3.00,2.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,4.00,3.00,1.00,3.00,1.00,2.00,2.00,2.00,2.00,1.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,3.00,1.00,1.00,1.00,3.00,2.00,1.00,4.00,3.00,5.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,6.00,5.00,4.00,4.00,8.00
260.00,1.00,8.00,2.00,2.00,4.00,50.00,5.00,4.00,6.00,3.00,2.00,4.00,3.00,2.00,1.00,1.00,4.00,2.00,1.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,3.00,3.00,1.00,2.00,1.00,4.00,3.00,3.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,4.00,2.00,3.00,1.00,5.00,5.00,5.00,1.00,3.00,5.00,1.00,1.00,4.00,3.00,3.00,3.00,2.00,5.00,5.00,5.00,5.00,3.00,4.00,3.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,3.00,3.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,4.00,4.00,3.00,3.00,2.00,2.00,2.00,3.00,5.00,5.00,1.00,4.00,2.00,2.00,3.00,4.00,4.00,2.00,2.00,1.00,9.00,3.00,3.00,3.00,1.00,1.00,4.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,3.00,7.00,4.00,5.00,2.00,11.00
261.00,1.00,8.00,2.00,2.00,4.00,54.00,3.00,2.00,6.00,4.00,3.00,2.00,3.00,3.00,4.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,2.00,2.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,4.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,4.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,4.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,1.00,3.00,4.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,3.00,3.00,4.00,3.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,1.00,3.00,3.00,3.00,2.00,3.00,2.00,7.00,3.00,3.00,4.00,6.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,7.00,3.00,4.00,3.00,8.00
262.00,1.00,8.00,2.00,2.00,4.00,58.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,3.00,1.00,1.00,4.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,9.00,3.00,2.00,3.00,6.00,2.00,2.00,3.00,1.00,5.00,9.00,2.00,1.00,1.00,3.00,1.00,1.00,5.00,6.00,1.00,1.00
263.00,1.00,8.00,2.00,2.00,4.00,59.00,4.00,3.00,5.00,3.00,2.00,2.00,1.00,2.00,2.00,3.00,1.00,2.00,2.00,1.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,1.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,4.00,2.00,3.00,3.00,2.00,2.00,4.00,3.00,3.00,3.00,2.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,3.00,2.00,4.00,3.00,4.00,1.00,2.00,3.00,4.00,1.00,2.00,3.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,2.00,4.00,3.00,2.00,3.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,7.00,3.00,4.00,4.00,1.00
264.00,1.00,8.00,2.00,2.00,4.00,51.00,2.00,2.00,4.00,3.00,2.00,3.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00,1.00,1.00,4.00,4.00,4.00,4.00,1.00,4.00,3.00,2.00,4.00,4.00,3.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,3.00,3.00,3.00,2.00,2.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,1.00,2.00,3.00,2.00,1.00,3.00,3.00,1.00,1.00,2.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,4.00,2.00,2.00,3.00,3.00,5.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,4.00,3.00,3.00,7.00,4.00,5.00,1.00,1.00
265.00,1.00,8.00,2.00,2.00,4.00,51.00,5.00,3.00,6.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,1.00,4.00,4.00,5.00,3.00,5.00,5.00,5.00,5.00,1.00,1.00,2.00,2.00,2.00,2.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,5.00,3.00,2.00,2.00,5.00,2.00,1.00,2.00,2.00,1.00,4.00,1.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,5.00,1.00,5.00,1.00,2.00,3.00,1.00,1.00,2.00,3.00,1.00,1.00,3.00,1.00,7.00,2.00,3.00,3.00,6.00,2.00,2.00,2.00,1.00,6.00,10.00,2.00,2.00,3.00,98.00,3.00,7.00,4.00,4.00,1.00,8.00
266.00,1.00,8.00,2.00,2.00,4.00,57.00,1.00,1.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,3.00,1.00,1.00,3.00,3.00,3.00,4.00,5.00,2.00,4.00,5.00,5.00,1.00,2.00,1.00,1.00,4.00,1.00,5.00,3.00,2.00,4.00,2.00,2.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,4.00,3.00,4.00,2.00,1.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,1.00,3.00,1.00,5.00,1.00,3.00,2.00,1.00,3.00,3.00,5.00,5.00,3.00,2.00,1.00,1.00,1.00,4.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,4.00,2.00,2.00,4.00,1.00,4.00,4.00,4.00,4.00,1.00,2.00,4.00,4.00,1.00,6.00,2.00,1.00,3.00,1.00,1.00,5.00,1.00,5.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,6.00,3.00,8.00
267.00,1.00,8.00,2.00,2.00,4.00,52.00,3.00,2.00,4.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,1.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,2.00,1.00,3.00,3.00,4.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,5.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,5.00,5.00,2.00,5.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,9.00,2.00,3.00,3.00,6.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,10.00,3.00,3.00,1.00,10.00
268.00,1.00,8.00,2.00,2.00,4.00,65.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00,3.00,4.00,4.00,4.00,4.00,5.00,3.00,3.00,3.00,1.00,1.00,2.00,3.00,2.00,3.00,3.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,2.00,3.00,2.00,3.00,2.00,4.00,1.00,2.00,2.00,1.00,1.00,4.00,4.00,3.00,4.00,2.00,5.00,5.00,5.00,5.00,2.00,3.00,3.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,3.00,1.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,1.00,1.00,4.00,4.00,1.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,2.00,1.00,2.00,4.00,3.00,2.00,3.00,1.00,8.00,4.00,3.00,4.00,6.00,2.00,3.00,4.00,2.00,3.00,5.00,4.00,1.00,1.00,98.00,1.00,2.00,5.00,6.00,3.00,15.00
269.00,1.00,8.00,2.00,2.00,4.00,64.00,3.00,3.00,6.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,1.00,1.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,4.00,3.00,3.00,2.00,4.00,5.00,4.00,1.00,2.00,3.00,2.00,1.00,5.00,4.00,3.00,3.00,2.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,2.00,1.00,3.00,4.00,4.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,2.00,4.00,2.00,2.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,2.00,1.00,3.00,4.00,3.00,2.00,1.00,1.00,9.00,3.00,3.00,3.00,1.00,1.00,2.00,2.00,2.00,3.00,5.00,4.00,1.00,2.00,3.00,1.00,2.00,5.00,6.00,3.00,9.00
270.00,1.00,8.00,2.00,2.00,4.00,61.00,4.00,3.00,4.00,3.00,2.00,2.00,3.00,3.00,4.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,3.00,1.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,1.00,3.00,3.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,2.00,3.00,2.00,7.00,3.00,3.00,3.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,1.00,2.00,6.00,3.00,4.00,3.00,8.00
271.00,1.00,8.00,2.00,2.00,4.00,61.00,1.00,2.00,6.00,2.00,1.00,3.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,8.00,2.00,2.00,4.00,4.00,2.00,3.00,5.00,5.00,3.00,3.00,3.00,2.00,2.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,2.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00,4.00,4.00,1.00,2.00,1.00,3.00,3.00,1.00,4.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,1.00,1.00,3.00,2.00,8.00,2.00,2.00,5.00,1.00,2.00,1.00,3.00,5.00,2.00,2.00,2.00,2.00,3.00,1.00,4.00,9.00,3.00,4.00,1.00,8.00
272.00,1.00,1.00,1.00,1.00,1.00,21.00,1.00,2.00,4.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,1.00,5.00,2.00,2.00,4.00,4.00,5.00,5.00,5.00,4.00,1.00,1.00,3.00,4.00,1.00,2.00,1.00,3.00,1.00,3.00,2.00,4.00,2.00,4.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,3.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,1.00,2.00,2.00,4.00,4.00,3.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,4.00,1.00,2.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,1.00,2.00,3.00,2.00,1.00,3.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,8.00,1.00,3.00,3.00,6.00,2.00,2.00,1.00,1.00,6.00,10.00,1.00,3.00,4.00,98.00,4.00,10.00,3.00,4.00,2.00,1.00
273.00,1.00,1.00,1.00,1.00,1.00,28.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,3.00,2.00,1.00,2.00,3.00,4.00,4.00,4.00,5.00,4.00,4.00,2.00,1.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,4.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,4.00,1.00,1.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,2.00,7.00,2.00,3.00,3.00,6.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,98.00,3.00,7.00,4.00,5.00,3.00,1.00
274.00,1.00,1.00,1.00,1.00,1.00,24.00,3.00,2.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,3.00,4.00,5.00,3.00,4.00,4.00,4.00,3.00,1.00,1.00,5.00,3.00,3.00,4.00,3.00,2.00,3.00,2.00,3.00,3.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,4.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,1.00,1.00,3.00,4.00,4.00,3.00,2.00,1.00,3.00,2.00,3.00,2.00,1.00,3.00,2.00,1.00,2.00,3.00,2.00,1.00,3.00,1.00,3.00,2.00,3.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,5.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,1.00,3.00,2.00,7.00,2.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,3.00,3.00,1.00,2.00,3.00,98.00,4.00,9.00,3.00,3.00,1.00,1.00
275.00,1.00,1.00,1.00,1.00,1.00,25.00,2.00,3.00,6.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,1.00,2.00,3.00,4.00,5.00,5.00,4.00,5.00,5.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,3.00,4.00,2.00,3.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,1.00,2.00,1.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,1.00,2.00,2.00,2.00,5.00,2.00,5.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,3.00,2.00,7.00,1.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,6.00,10.00,1.00,3.00,4.00,98.00,3.00,7.00,3.00,3.00,2.00,1.00
276.00,1.00,1.00,1.00,1.00,1.00,28.00,4.00,2.00,3.00,2.00,4.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,5.00,4.00,4.00,4.00,5.00,5.00,3.00,2.00,1.00,2.00,2.00,3.00,2.00,3.00,2.00,1.00,1.00,4.00,2.00,3.00,4.00,1.00,2.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00,4.00,3.00,3.00,2.00,2.00,3.00,4.00,5.00,2.00,2.00,1.00,2.00,3.00,1.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,1.00,3.00,2.00,3.00,1.00,2.00,2.00,1.00,3.00,5.00,4.00,2.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,3.00,6.00,3.00,3.00,1.00,1.00,1.00,3.00,4.00,2.00,2.00,2.00,1.00,3.00,4.00,1.00,2.00,5.00,3.00,4.00,4.00,1.00
277.00,1.00,1.00,1.00,1.00,1.00,29.00,4.00,3.00,6.00,3.00,4.00,2.00,2.00,3.00,3.00,4.00,4.00,2.00,1.00,5.00,2.00,3.00,3.00,3.00,5.00,4.00,2.00,1.00,3.00,3.00,1.00,5.00,4.00,2.00,5.00,4.00,1.00,1.00,1.00,4.00,1.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,4.00,2.00,4.00,4.00,3.00,1.00,4.00,1.00,4.00,1.00,4.00,3.00,5.00,5.00,2.00,4.00,4.00,4.00,4.00,1.00,1.00,2.00,3.00,3.00,1.00,3.00,3.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,4.00,4.00,2.00,1.00,3.00,3.00,3.00,3.00,1.00,5.00,3.00,5.00,3.00,5.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,1.00,2.00,2.00,1.00,8.00,2.00,2.00,5.00,6.00,2.00,1.00,4.00,5.00,4.00,6.00,1.00,3.00,4.00,2.00,4.00,10.00,3.00,3.00,1.00,1.00
278.00,1.00,1.00,1.00,1.00,2.00,39.00,2.00,2.00,3.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,1.00,2.00,3.00,5.00,5.00,5.00,4.00,4.00,4.00,1.00,2.00,1.00,4.00,2.00,2.00,3.00,3.00,2.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,3.00,2.00,4.00,2.00,1.00,2.00,2.00,5.00,5.00,4.00,4.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,1.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,8.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,2.00,4.00,6.00,2.00,3.00,4.00,2.00,3.00,7.00,3.00,3.00,2.00,1.00
279.00,1.00,1.00,1.00,1.00,2.00,39.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,2.00,1.00,2.00,2.00,4.00,4.00,3.00,4.00,2.00,2.00,2.00,1.00,2.00,4.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,4.00,2.00,3.00,2.00,2.00,2.00,3.00,4.00,3.00,3.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,3.00,1.00,1.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,3.00,1.00,3.00,3.00,5.00,3.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,7.00,2.00,3.00,4.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,1.00,2.00,3.00,98.00,3.00,7.00,3.00,4.00,2.00,1.00
